time, price, volume, position_id, side
20180501001500001,9206,1, 1,SELL
20180501002515001,9115.93,1, 1,BUY
20180501003000001,9123.6,1, 2,SELL
20180501004115001,9034.35,1, 2,BUY
20180501004500001,8987.2,1, 3,SELL
20180501011915001,8899.32,1, 3,BUY
20180501013000001,8941.3,1, 4,SELL
20180501025715001,9032.72,1, 4,BUY
20180501080000001,8978.3,1, 5,BUY
20180501123207501,8886.53,1, 5,SELL
20180501194500001,8990.9,1, 6,BUY
20180501211915001,9078.8,1, 6,SELL
20180501213000001,9089.8,1, 7,BUY
20180502012315001,8996.91,1, 7,SELL
20180502040000001,9028,1, 8,SELL
20180502064415001,9120.29,1, 8,BUY
20180502141500001,9082.8,1, 9,SELL
20180502204715001,9175.64,1, 9,BUY
20180502221500001,9228.9,1, 10,BUY
20180503060000001,9201,1, 10,SELL
20180503060000001,9201,1, 11,SELL
20180503124815001,9295.03,1, 11,BUY
20180503133000001,9323.2,1, 12,BUY
20180503135615001,9414.42,1, 12,SELL
20180503140000001,9469.8,1, 13,BUY
20180503165515001,9562.48,1, 13,SELL
20180503170000001,9616.6,1, 14,BUY
20180503175915001,9710.76,1, 14,SELL
20180503180000001,9715.9,1, 15,BUY
20180503230815001,9811.05,1, 15,SELL
20180504001500001,9618.3,1, 16,SELL
20180504065315001,9716.5,1, 16,BUY
20180504100000001,9762,1, 17,BUY
20180504111815001,9662.39,1, 17,SELL
20180504224500001,9744.5,1, 18,BUY
20180505020115001,9839.93,1, 18,SELL
20180505021500001,9864.3,1, 19,BUY
20180505074500001,9809,1, 19,SELL
20180505074500001,9809,1, 20,SELL
20180505100915001,9909.1,1, 20,BUY
20180505131500001,9957.5,1, 21,BUY
20180505160115001,9855.94,1, 21,SELL
20180505184500001,9866.3,1, 22,SELL
20180505202715001,9769.63,1, 22,BUY
20180505203000001,9752.8,1, 23,SELL
20180505222915001,9852.34,1, 23,BUY
20180506020000001,9945.9,1, 24,BUY
20180506050315001,9844.45,1, 24,SELL
20180506070000001,9694.3,1, 25,SELL
20180506082515001,9599.34,1, 25,BUY
20180506083000001,9639.2,1, 26,SELL
20180506115215001,9544.8,1, 26,BUY
20180506161500001,9595.1,1, 27,BUY
20180507005315001,9497.16,1, 27,SELL
20180507020000001,9355.9,1, 28,SELL
20180507032915001,9264.33,1, 28,BUY
20180507033000001,9263.7,1, 29,SELL
