time, price, volume, position_id, side
20180608070015001,116169,1, 1,SELL
20180609200107501,115101,1, 1,BUY
20180611095915001,111739,1, 2,SELL
20180613150015001,112131,1, 2,BUY
20180613173915001,112691,1, 3,BUY
20180614113215001,111219,1, 3,SELL
20180614180515001,111129,1, 4,SELL
20180619182615001,107981,1, 4,BUY
20180620070015001,108551,1, 5,BUY
20180621070015001,108769,1, 5,SELL
20180622070515001,109911,1, 6,BUY
20180625161215001,109609,1, 6,SELL
20180626070415001,111031,1, 7,BUY
20180626103015001,109539,1, 8,SELL
20180626103015001,109539,1, 7,SELL
20180627115015001,110431,1, 8,BUY
20180627142215001,111221,1, 9,BUY
20180703074515001,112719,1, 9,SELL
20180703153115001,112569,1, 10,SELL
20180705071215001,112961,1, 10,BUY
20180705071315001,113161,1, 11,BUY
20180706090007501,114589,1, 11,SELL
20180706141715001,115661,1, 12,BUY
20180711071315001,118509,1, 12,SELL
20180711081215001,118079,1, 13,SELL
20180713074815001,117571,1, 13,BUY
20180713145015001,118141,1, 14,BUY
20180713162815001,116809,1, 14,SELL
20180713170715001,116129,1, 15,SELL
20180716073815001,118281,1, 16,BUY
20180716073815001,118281,1, 15,BUY
20180716203815001,116799,1, 16,SELL
20180717072515001,115999,1, 17,SELL
20180723081107501,113391,1, 18,BUY
20180723081107501,113391,1, 17,BUY
20180724164815001,112839,1, 18,SELL
20180724164915001,112639,1, 19,SELL
20180725142815001,114421,1, 19,BUY
20180725194215001,114971,1, 20,BUY
20180727075707501,114379,1, 20,SELL
20180727092315001,114339,1, 21,SELL
20180727130815001,115291,1, 21,BUY
20180727150615001,115331,1, 22,BUY
20180801095615001,116469,1, 22,SELL
20180801160015001,115939,1, 23,SELL
20180803113115001,114721,1, 23,BUY
20180806082015001,114721,1, 24,BUY
20180806133515001,113629,1, 24,SELL
20180807075815001,114931,1, 25,BUY
20180808070115001,114379,1, 25,SELL
20180808082607501,113489,1, 26,SELL
20180813134015001,106651,1, 26,BUY
20180814070015001,107091,1, 27,BUY
20180815085315001,107219,1, 27,SELL
20180815133507501,105789,1, 28,SELL
20180816070015001,106561,1, 28,BUY
20180817091915001,105049,1, 29,SELL
20180817200015001,106851,1, 29,BUY
20180820112015001,106961,1, 30,BUY
20180821073115001,106109,1, 30,SELL
20180821160015001,107551,1, 31,BUY
20180822113315001,106569,1, 31,SELL
20180822163515001,105529,1, 32,SELL
20180823130315001,106701,1, 32,BUY
20180824081115001,103999,1, 33,SELL
20180824120015001,105561,1, 33,BUY
20180824152015001,106751,1, 34,BUY
20180828144815001,107719,1, 34,SELL
20180828162615001,107149,1, 35,SELL
20180829160015001,108491,1, 35,BUY
20180829161415001,108691,1, 36,BUY
20180830114515001,107919,1, 36,SELL
20180830150215001,107399,1, 37,SELL
20180831110507501,108021,1, 37,BUY
20180831141815001,109231,1, 38,BUY
20180903143815001,108249,1, 38,SELL
20180904090015001,108049,1, 39,SELL
20180906091315001,107801,1, 39,BUY
20180906131115001,106699,1, 40,SELL
20180911070015001,103711,1, 40,BUY
20180911160015001,104701,1, 41,BUY
20180917090715001,107519,1, 41,SELL
20180917152915001,108631,1, 42,BUY
20180921070115001,112349,1, 42,SELL
20180921204915001,113511,1, 43,BUY
20180926090515001,114979,1, 43,SELL
20180926194615001,114229,1, 44,SELL
20180927080915001,115431,1, 44,BUY
20180927093215001,116191,1, 45,BUY
20181001130315001,117429,1, 45,SELL
20181001182715001,118801,1, 46,BUY
20181002102515001,116909,1, 47,SELL
20181002102515001,116909,1, 46,SELL
20181003081215001,117991,1, 47,BUY
20181003151715001,118801,1, 48,BUY
20181003192715001,117609,1, 48,SELL
20181004113715001,116719,1, 49,SELL
20181005115915001,115681,1, 49,BUY
20181008070015001,115951,1, 50,BUY
20181008080715001,114519,1, 50,SELL
20181008102307501,114249,1, 51,SELL
20181008191515001,116061,1, 51,BUY
20181009070015001,116321,1, 52,BUY
20181009131415001,115369,1, 52,SELL
20181010073615001,114769,1, 53,SELL
20181011160515001,113201,1, 53,BUY
20181012090107501,114231,1, 54,BUY
20181015140415001,113719,1, 54,SELL
20181016140515001,115721,1, 55,BUY
20181017143815001,115369,1, 55,SELL
20181018070015001,115189,1, 56,SELL
