time, price, volume, position_id, side
20180105071500001,57524,1, 1,BUY
20180105134500001,57503,1, 1,SELL
20180105134500001,57503,1, 2,SELL
20180105181500001,57528,1, 2,BUY
20180110071500001,57326,1, 3,SELL
20180110191500001,57602,1, 4,BUY
20180110191500001,57602,1, 3,BUY
20180111193000001,56942,1, 4,SELL
20180111193000001,56942,1, 5,SELL
20180112073000001,57097,1, 6,BUY
20180112073000001,57097,1, 5,BUY
20180115071500001,56849,1, 7,SELL
20180115071500001,56849,1, 6,SELL
20180126140000001,56391,1, 8,BUY
20180126140000001,56391,1, 7,BUY
20180131071500001,56628,1, 8,SELL
20180131071500001,56628,1, 9,SELL
20180201134500001,56721,1, 9,BUY
20180201134500001,56721,1, 10,BUY
20180206144500001,57320,1, 10,SELL
20180206144500001,57320,1, 11,SELL
20180214134500001,57899,1, 12,BUY
20180214134500001,57899,1, 11,BUY
20180221191500001,56655,1, 12,SELL
20180221191500001,56655,1, 13,SELL
20180301071500001,56578,1, 14,BUY
20180301071500001,56578,1, 13,BUY
20180302071500001,56668,1, 15,SELL
20180302071500001,56668,1, 14,SELL
20180302130000001,57294,1, 15,BUY
20180302130000001,57294,1, 16,BUY
20180309140000001,56918,1, 16,SELL
20180309140000001,56918,1, 17,SELL
20180314130000001,57606,1, 18,BUY
20180314130000001,57606,1, 17,BUY
20180320071500001,58264,1, 19,SELL
20180320071500001,58264,1, 18,SELL
20180326131500001,57770,1, 19,BUY
20180326131500001,57770,1, 20,BUY
20180330170000001,57596,1, 21,SELL
20180330170000001,57596,1, 20,SELL
20180402071500001,57780,1, 22,BUY
20180402071500001,57780,1, 21,BUY
20180410084500001,62774,1, 22,SELL
20180410084500001,62774,1, 23,SELL
20180411071500001,65079,1, 23,BUY
20180411071500001,65079,1, 24,BUY
20180411161500001,62985,1, 25,SELL
20180411161500001,62985,1, 24,SELL
20180416071500001,62883,1, 26,BUY
20180416071500001,62883,1, 25,BUY
20180416183000001,62255,1, 27,SELL
20180416183000001,62255,1, 26,SELL
20180418071500001,62279,1, 27,BUY
20180418071500001,62279,1, 28,BUY
20180418074500001,61825,1, 29,SELL
20180418074500001,61825,1, 28,SELL
20180420071500001,61652,1, 29,BUY
20180420071500001,61652,1, 30,BUY
20180426124500001,63069,1, 31,SELL
20180426124500001,63069,1, 30,SELL
20180428120000001,62635,1, 31,BUY
20180428120000001,62635,1, 32,BUY
20180503071500001,63963,1, 33,SELL
20180503071500001,63963,1, 32,SELL
20180507071500001,63088,1, 33,BUY
20180507071500001,63088,1, 34,BUY
20180510071500001,62888,1, 35,SELL
20180510071500001,62888,1, 34,SELL
20180523071500001,61689,1, 36,BUY
20180523071500001,61689,1, 35,BUY
20180528194500001,62522,1, 36,SELL
20180528200000001,62462,1, 37,SELL
20180529071500001,62732,1, 38,BUY
20180529071500001,62732,1, 37,BUY
20180530071500000,62760,1, 39,SELL
20180530071500001,62760,1, 38,SELL
