File, Ticker, Timeframe, Profit/Loss, Trades Num., Good, Bad, Profit Factor, Profit Factor(%), Reward/Risk, Sharpe, Num. Stds in Average Trade
data/abgar/btc/1.csv, btcusd,60, 3898.510000,175,63,112, 1.476881, 1.446184, 0.616160, 2.491595,0.125000
data/abgar/btc/2.csv, btcusd,15, 2381.910000,313,111,202, 1.200884, 1.161266, 0.263074, 3.031683,0.046842
data/abgar/btc/4.csv, btcusd,15, 2722.770000,319,106,212, 1.356115, 1.410482, 0.878480, 2.516443,0.084163
data/abgar/eth/1.csv, ethusd,60, 338.312000,171,63,108, 1.614433, 1.539014, 1.213723, 4.642252,0.149803
data/abgar/eth/2.csv, ethusd,15, 234.115000,288,101,187, 1.277955, 1.240165, 0.578186, 4.346651,0.068364
data/abgar/eth/3.csv, ethusd,15, 357.134000,152,51,101, 1.710638, 1.732840, 1.177906, 3.697295,0.131439
data/abgar/eth/4.csv, ethusd,15, 221.650000,334,112,222, 1.356025, 1.365472, 0.568686, 5.619118,0.083702
data/abgar/rts/1.csv, rts,60, 7668.000000,76,33,43, 1.174487, 1.176005, 0.252353, 0.628276,0.061775
data/abgar/rts/2.csv, rts,15, 25956.000000,62,29,33, 1.609782, 1.582417, 0.686703, 2.152707,0.180133
data/abgar/rts/3.csv, rts,15, 9050.000000,35,16,19, 1.226261, 1.194323, 0.398012, 0.122306,0.076159
data/abgar/rts/4.csv, rts,15, 4086.000000,82,38,44, 1.144239, 1.130507, 0.312576, 0.596465,0.051157
data/abgar/si/1.csv, si,60, 7060.000000,66,24,42, 1.576986, 1.581318, 1.071645, 1.269984,0.145396
data/abgar/si/2.csv, si,15, 4315.000000,59,26,33, 1.279306, 1.291173, 0.416345, 0.796777,0.089180
data/abgar/si/3.csv, si,15, 7110.000000,39,20,19, 1.711071, 1.729509, 0.682407, 1.037779,0.197380
data/abgar/si/4.csv, si,15, -215.000000,91,34,57, 0.978891, 0.984227, -0.037430, -0.166575,-0.007986
data/ivan/tr_decis_n_0_e_288.csv, btcusd,15, 2807.580000,496,362,134, 1.173199, 1.167966, 0.128593, 1.650093,0.053444
data/ivan/tr_decis_n_0_e_330.csv, btcusd,15, 2797.890000,538,389,149, 1.158538, 1.149903, 0.126895, 1.099949,0.049605
data/ivan/tr_decis_n_1_e_491.csv, btcusd,15, 5639.080000,553,418,135, 1.333310, 1.339102, 0.251888, 2.068746,0.097566
data/ivan/tr_decis_n_1_e_497.csv, btcusd,15, 4112.320000,518,388,130, 1.249835, 1.242511, 0.185234, 1.561689,0.075002
data/ivan/tr_decis_n_2_e_266.csv, btcusd,15, 3883.560000,334,237,97, 1.377476, 1.410765, 0.269599, 1.158838,0.084476
