Ticker, Timeframe, File Name (train), Profit/Loss, Trades Num., Good, Bad, Profit Factor, Profit Factor(%), Sharpe, Reward/Risk, Lost Profit, File Name (test), Profit/Loss, Trades Num., Good, Bad, Profit Factor, Profit Factor(%), Sharpe, Reward/Risk, Lost Profit
btcusd, 15, tr_decis_n_19_e_484.csv, 1433.060000, 581, 405, 176, 1.073591, 1.078285, 1.861800, 0.064294, 13209.070000, val_decis_n_19_e_484.csv, -874.900000, 5, 3, 2, 0.084641, 0.089932, -0.035562, -3.883267, 117.600000
btcusd, 15, tr_decis_n_23_e_485.csv, 1663.000000, 542, 397, 145, 1.097406, 1.092712, 1.255137, 0.079226, 12768.570000, val_decis_n_23_e_485.csv, 13.600000, 1, 1, 0, 100.000000, 100.000000, nan, 0.489209, 58.700000
btcusd, 15, tr_decis_n_21_e_245.csv, 1069.460000, 400, 295, 105, 1.070453, 1.060467, -0.254544, 0.054469, 9707.270000, val_decis_n_21_e_245.csv, -800.700000, 2, 1, 1, 0.082082, 0.092621, -1.414117, -2.858622, 125.720000
btcusd, 15, tr_decis_n_11_e_456.csv, 1126.420000, 527, 393, 134, 1.060617, 1.052837, -0.181819, 0.054241, 12113.540000, val_decis_n_11_e_456.csv, -727.400000, 13, 8, 5, 0.231566, 0.242711, -1.133760, -0.616796, 271.330000
btcusd, 15, tr_decis_n_3_e_446.csv, 4112.110000, 624, 462, 162, 1.223195, 1.208557, 1.174624, 0.174782, 13886.940000, val_decis_n_3_e_446.csv, -440.800000, 10, 9, 1, 0.529261, 0.567720, 0.453741, -0.492503, 168.100000
btcusd, 15, tr_decis_n_1_e_497.csv, 4112.320000, 518, 388, 130, 1.249835, 1.242511, 1.560731, 0.185234, 12594.930000, val_decis_n_1_e_497.csv, -350.100000, 4, 2, 2, 0.155775, 0.154543, 1.677169, -1.763728, 136.740000
btcusd, 15, tr_decis_n_17_e_203.csv, 5128.320000, 527, 394, 133, 1.309260, 1.289073, 0.878445, 0.235689, 12352.140000, val_decis_n_17_e_203.csv, -982.700000, 12, 8, 4, 0.252870, 0.278267, -0.518333, -0.938748, 259.230000
btcusd, 15, tr_decis_n_11_e_293.csv, -611.380000, 539, 399, 140, 0.968382, 0.958695, -3.081028, -0.028957, 12086.630000, val_decis_n_11_e_293.csv, -607.500000, 16, 11, 5, 0.348246, 0.350685, -0.361153, -1.045233, 475.500000
btcusd, 15, tr_decis_n_12_e_270.csv, 5183.860000, 455, 340, 115, 1.353083, 1.342853, 1.717576, 0.274249, 12201.500000, val_decis_n_12_e_270.csv, 13.600000, 1, 1, 0, 100.000000, 100.000000, nan, 0.489209, 58.700000
btcusd, 15, tr_decis_n_26_e_300.csv, 1117.790000, 528, 384, 144, 1.059582, 1.043714, 0.227999, 0.051189, 12667.440000, val_decis_n_26_e_300.csv, -821.600000, 7, 3, 4, 0.086197, 0.083224, -0.759209, -2.230790, 170.640000
btcusd, 15, tr_decis_n_7_e_479.csv, 218.220000, 492, 354, 138, 1.012276, 1.003373, -0.692529, 0.010803, 12107.540000, val_decis_n_7_e_479.csv, -891.300000, 51, 39, 12, 0.651551, 0.669314, -1.557004, -0.348942, 1135.870000
btcusd, 15, tr_decis_n_1_e_491.csv, 5639.080000, 553, 418, 135, 1.333310, 1.339102, 2.069175, 0.251888, 12745.260000, val_decis_n_1_e_491.csv, -219.500000, 9, 6, 3, 0.410738, 0.412225, -0.095165, -0.559663, 174.940000
btcusd, 15, tr_decis_n_2_e_346.csv, 892.640000, 336, 244, 92, 1.071427, 1.032120, -0.488831, 0.057764, 8526.950000, val_decis_n_2_e_346.csv, -930.000000, 3, 1, 2, 0.015039, 0.017124, -1.592891, -1.334634, 86.200000
btcusd, 15, tr_decis_n_11_e_448.csv, 2051.780000, 526, 397, 129, 1.114363, 1.104664, 0.399545, 0.098005, 12122.080000, val_decis_n_11_e_448.csv, -128.000000, 9, 8, 1, 0.621861, 0.631177, 1.186464, -0.644187, 243.300000
btcusd, 15, tr_decis_n_6_e_476.csv, 4485.530000, 433, 336, 97, 1.322763, 1.301430, 0.835657, 0.256052, 10535.960000, val_decis_n_6_e_476.csv, 28.900000, 1, 1, 0, 100.000000, 100.000000, nan, 10000000000.000000, 1.200000
btcusd, 15, tr_decis_n_27_e_290.csv, 1727.500000, 607, 437, 170, 1.090043, 1.072521, 0.553421, 0.075702, 14086.380000, val_decis_n_27_e_290.csv, -417.700000, 4, 2, 2, 0.157013, 0.163784, -1.224717, -8.094961, 150.900000
