File, Ticker, Timeframe, Profit/Loss, Trades Num., Good, Bad, Profit Factor, Profit Factor(%), Reward/Risk, Sharpe, Num. Stds in Average Trade
data/abgar/btc/1.csv, btcusd,60,3898.51,175,63,112,1.476881,1.446184,0.61616,2.491595,0.125
data/abgar/btc/2.csv, btcusd,15,2381.91,313,111,202,1.200884,1.161266,0.263074,3.031683,0.046842
data/abgar/btc/4.csv, btcusd,15,2722.77,319,106,212,1.356115,1.410482,0.87848,2.516443,0.084163
data/abgar/eth/1.csv, ethusd,60,338.312,171,63,108,1.614433,1.539014,1.213723,4.642252,0.149803
data/abgar/eth/2.csv, ethusd,15,234.115,288,101,187,1.277955,1.240165,0.578186,4.346651,0.068364
data/abgar/eth/3.csv, ethusd,15,357.134,152,51,101,1.710638,1.73284,1.177906,3.697295,0.131439
data/abgar/eth/4.csv, ethusd,15,221.65,334,112,222,1.356025,1.365472,0.568686,5.619118,0.083702
data/abgar/rts/1.csv, rts,60,7668,76,33,43,1.174487,1.176005,0.252353,0.628276,0.061775
data/abgar/rts/2.csv, rts,15,25956,62,29,33,1.609782,1.582417,0.686703,2.152707,0.180133
data/abgar/rts/3.csv, rts,15,9050,35,16,19,1.226261,1.194323,0.398012,0.122306,0.076159
data/abgar/rts/4.csv, rts,15,4086,82,38,44,1.144239,1.130507,0.312576,0.596465,0.051157
data/abgar/si/1.csv, si,60,7060,66,24,42,1.576986,1.581318,1.071645,1.269984,0.145396
data/abgar/si/2.csv, si,15,4315,59,26,33,1.279306,1.291173,0.416345,0.796777,0.08918
data/abgar/si/3.csv, si,15,7110,39,20,19,1.711071,1.729509,0.682407,1.037779,0.19738
data/abgar/si/4.csv, si,15,-215,91,34,57,0.978891,0.984227,-0.03743,-0.166575,-0.007986
data/ivan/tr_decis_n_0_e_288.csv, btcusd,15,2807.58,496,362,134,1.173199,1.167966,0.128593,1.650093,0.053444
data/ivan/tr_decis_n_0_e_330.csv, btcusd,15,2797.89,538,389,149,1.158538,1.149903,0.126895,1.099949,0.049605
data/ivan/tr_decis_n_1_e_491.csv, btcusd,15,5639.08,553,418,135,1.33331,1.339102,0.251888,2.068746,0.097566
data/ivan/tr_decis_n_1_e_497.csv, btcusd,15,4112.32,518,388,130,1.249835,1.242511,0.185234,1.561689,0.075002
data/ivan/tr_decis_n_2_e_266.csv, btcusd,15,3883.56,334,237,97,1.377476,1.410765,0.269599,1.158838,0.084476
data/ivan/tr_decis_n_2_e_393.csv, btcusd,15,3935.24,396,279,117,1.308276,1.323477,0.236546,1.002806,0.071881
data/ivan/tr_decis_n_3_e_390.csv, btcusd,15,3783.07,621,456,165,1.203112,1.198451,0.161356,1.553229,0.062816
data/ivan/tr_decis_n_3_e_446.csv, btcusd,15,4112.11,624,462,162,1.223195,1.208557,0.174782,1.1786,0.068436
data/ivan/tr_decis_n_3_e_487.csv, btcusd,15,4670.85,662,496,166,1.250717,1.244198,0.194214,1.698486,0.075543
